Date,Close,High,Low,Open,Volume
,SUNPHARMA.NS,SUNPHARMA.NS,SUNPHARMA.NS,SUNPHARMA.NS,SUNPHARMA.NS
2020-12-21,524.7463989257812,556.4183055542887,512.5430172155795,544.9271268662746,12715463
2020-12-22,539.7037353515625,542.362830729468,513.2076685290994,525.1736267116398,8012096
2020-12-23,545.6866455078125,547.5385349355297,537.6143575093897,541.3181363648241,4958783
2020-12-24,560.7392578125,565.0602955385365,543.3601040130941,545.6867765059254,7486583
2020-12-28,557.4153442382812,569.2863582225536,555.1360863677268,568.8589901263327,12299793
2020-12-29,560.8816528320312,566.0099541254538,553.806574776612,560.121919519952,7430043
2020-12-30,554.6138305664062,565.0603239503625,552.2396275245981,565.0603239503625,5589703
2020-12-31,562.5436401367188,564.9653735872533,552.7619352912193,555.2311412093458,8835267
2021-01-01,566.247314453125,569.5711980599777,556.3706085500478,562.68601058864,8229768
2021-01-04,573.9873046875,578.7831828557727,565.250226599316,569.8086844823878,11329298
2021-01-05,573.0850830078125,578.0709088839064,569.8086715535923,577.8334886040924,7790158
2021-01-06,574.8419189453125,580.2076399791256,566.1523722526256,573.7022901104222,6422080
2021-01-07,571.613037109375,577.4060682267357,567.909257894059,575.5541786190777,4555702
2021-01-08,589.56201171875,591.4613739072537,573.6073809281061,576.4564242108615,11451416
2021-01-11,589.751953125,596.3997207125603,583.1516579988498,592.3161036444171,7516087
2021-01-12,578.9730834960938,592.5060386497473,576.5038779528574,589.751940380273,6747035
2021-01-13,571.9928588867188,583.5789787641633,567.1969813944613,580.2550952398759,6186661
2021-01-14,576.5039672851562,580.8725356321537,566.3898971709253,571.9929815349376,6730284
2021-01-15,573.8922729492188,585.7632866125897,568.0042385794,578.355785679433,8389544
2021-01-18,552.192138671875,576.7888466768087,549.3430951062421,573.7023828140398,7414570
2021-01-19,566.5322265625,572.6576810118812,553.9964249376127,557.367839082543,5500391
2021-01-20,564.7755126953125,573.2276419657277,563.1135703261695,570.9484414949869,5182972
2021-01-21,553.5692138671875,568.6216382237335,551.4324310930691,567.9093772990274,4546393
2021-01-22,546.2566528320312,557.4154072384309,541.8880844137138,553.5692098656092,5591688
2021-01-25,556.8930053710938,564.1105583530001,538.4691693369547,548.0609250055319,8149590
2021-01-27,541.1282348632812,556.4181340992428,535.3826762716881,556.4181340992428,8534047
2021-01-28,535.9524536132812,545.5917390288666,522.7044499244544,526.9780144599284,9863454
2021-01-29,556.703125,569.8087138251915,526.2183240319885,539.4189157545146,22539938
2021-02-01,560.4542846679688,569.2388342209844,550.435103401223,566.0098955240336,12621971
2021-02-02,578.783203125,585.8583394645512,561.7364144577956,566.9121884492224,15788247
2021-02-03,597.5393676757812,615.7732566315585,579.7803192763319,581.6796815016434,23788455
2021-02-04,599.7236938476562,608.7456654890699,594.7378674142434,600.6733750730682,7926593
2021-02-05,602.8101196289062,611.8320906985787,591.7938412978289,601.6230181723704,10981738
2021-02-08,602.7152099609375,612.401912041858,600.7208446189102,608.6507175908847,6479801
2021-02-09,597.3982543945312,612.3907137149603,594.9075216534851,605.3495611222974,5794015
2021-02-10,600.7512817382812,605.014318959144,588.2974993006396,596.8714612114553,6902162
2021-02-11,616.6058959960938,621.4915868163309,595.8655368011681,595.8655368011681,11433578
2021-02-12,600.7991943359375,626.9042368430318,596.2008281453199,626.9042368430318,15471776
2021-02-15,601.1344604492188,610.5226841533386,597.1109192986946,605.4453848667829,7310676
2021-02-16,604.631103515625,607.8403237595063,596.823517261107,604.4873826512978,6137454
